age,gender,year in school,where do you live,frat or soro member,activ:religion,binge drink,drug use:marijuana,drug use:cigarettes,number_of_sexual_partners,GPA,GPA Recode,Recode:marijuana,Recode:cigarettes
19,female,sophomore,off-campus,no,important,3-5 times,used past 30d,used past 30d,1,"no grade, dk",,Used,Current User
22,male,junior,off-campus,yes,not impt,10 or more x,"used, > 30day",used past 30d,0,D,D,Used,Current User
22,female,senior,off-campus,no,somewhat imp,twice,never used,"used, > 12mos",0,B-,B,never used,Previous User
26,female,senior,off-campus,no,not impt,none,"used, > 12mos","used, > 12mos",1,A-,A,Used,Previous User
22,female,senior,off-campus,no,somewhat imp,none,never used,never used,,B,B,never used,never used
21,female,junior,off-campus,no,important,none,"used, > 30day",used past 30d,,B,B,Used,Current User
22,female,=> 5th yr,off-campus,yes,important,3-5 times,used past 30d,"used, > 12mos",1,A,A,Used,Previous User
26,male,senior,off-campus,no,not impt,twice,"used, > 12mos",never used,1,B+,B,Used,never used
20,male,sophomore,co-ed dorm,no,not impt,none,never used,"used, > 12mos",1,C+,C,never used,Previous User
20,male,junior,1 sex dorm,no,not impt,once,never used,never used,2 or more,C+,C,never used,never used
18,female,freshman,1 sex dorm,no,somewhat imp,none,never used,never used,1,A,A,never used,never used
21,male,senior,off-campus,yes,important,once,never used,never used,1,B,B,never used,never used
20,female,sophomore,co-ed dorm,no,very import,none,never used,never used,,B-,B,never used,never used
20,male,junior,frat/sorority,yes,somewhat imp,twice,"used, > 12mos","used, > 30day",1,B,B,Used,Current User
19,female,sophomore,co-op,no,not impt,none,never used,never used,,B-,B,never used,never used
21,male,junior,co-ed dorm,no,somewhat imp,3-5 times,never used,"used, > 30day",1,B-,B,never used,Current User
18,male,freshman,co-ed dorm,no,somewhat imp,none,never used,never used,1,B,B,never used,never used
21,female,freshman,off-campus,,not impt,none,never used,never used,,B+,B,never used,never used
21,male,junior,co-ed dorm,no,very import,10 or more x,"used, > 12mos",used past 30d,0,B,B,Used,Current User
19,female,sophomore,co-ed dorm,no,not impt,3-5 times,used past 30d,used past 30d,1,A-,A,Used,Current User
18,female,freshman,co-ed dorm,yes,somewhat imp,3-5 times,used past 30d,used past 30d,0,C-,C,Used,Current User
25,male,=> 5th yr,off-campus,no,important,once,"used, > 12mos","used, > 12mos",1,B,B,Used,Previous User
21,female,senior,co-ed dorm,no,important,3-5 times,used past 30d,used past 30d,1,A-,A,Used,Current User
26,male,junior,off-campus,no,not impt,twice,"used, > 12mos","used, > 12mos",1,B+,B,Used,Previous User
26,male,senior,co-ed dorm,no,very import,none,never used,never used,0,B+,B,never used,never used
21,male,junior,1 sex dorm,no,very import,once,"used, > 30day",used past 30d,0,A,A,Used,Current User
21,female,junior,off-campus,yes,somewhat imp,none,never used,never used,1,A,A,never used,never used
20,male,sophomore,off-campus,no,somewhat imp,twice,"used, > 30day",used past 30d,,C+,C,Used,Current User
26,female,senior,off-campus,no,not impt,none,"used, > 12mos","used, > 12mos",,A,A,Used,Previous User
19,female,freshman,co-ed dorm,no,somewhat imp,none,never used,never used,,A,A,never used,never used
18,female,freshman,off-campus,yes,very import,none,never used,never used,1,A-,A,never used,never used
22,male,=> 5th yr,off-campus,yes,somewhat imp,3-5 times,"used, > 30day","used, > 30day",2 or more,B+,B,Used,Current User
25,female,=> 5th yr,off-campus,no,somewhat imp,none,"used, > 12mos","used, > 12mos",1,B+,B,Used,Previous User
21,female,junior,off-campus,no,not impt,once,,never used,0,A-,A,,never used
18,female,freshman,off-campus,no,somewhat imp,none,never used,"used, > 30day",1,B,B,never used,Current User
22,male,junior,off-campus,no,not impt,none,never used,never used,0,B,B,never used,never used
18,female,freshman,1 sex dorm,no,somewhat imp,3-5 times,never used,never used,1,B+,B,never used,never used
20,male,junior,off-campus,no,not impt,none,never used,"used, > 12mos",,A,A,never used,Previous User
23,female,=> 5th yr,off-campus,no,somewhat imp,none,never used,"used, > 12mos",,B-,B,never used,Previous User
